anio,lluvia,region
2010,13.253698630136988,SanJose
2011,9.266027397260274,SanJose
2012,7.5133879781420765,SanJose
2013,7.101643835616438,SanJose
2014,8.064383561643835,SanJose
2015,6.50986301369863,SanJose
2016,8.066393442622951,SanJose
2017,8.87068493150685,SanJose
2018,6.3183561643835615,SanJose
2019,6.7065753424657535,SanJose
2020,9.912568306010929,SanJose
2021,8.920821917808219,SanJose
2022,10.100547945205479,SanJose
2023,8.036164383561644,SanJose
2024,10.173224043715848,SanJose
2025,8.2,SanJose
2010,16.18986301369863,Limon
2011,10.607397260273972,Limon
2012,10.442622950819672,Limon
2013,9.22904109589041,Limon
2014,12.310958904109588,Limon
2015,12.246849315068495,Limon
2016,10.980601092896174,Limon
2017,12.075068493150685,Limon
2018,13.117260273972603,Limon
2019,9.98931506849315,Limon
2020,9.92896174863388,Limon
2021,12.82931506849315,Limon
2022,11.263287671232877,Limon
2023,9.211506849315068,Limon
2024,10.254098360655737,Limon
2025,15.0,Limon
2010,9.012054794520548,Guanacaste
2011,6.813972602739725,Guanacaste
2012,3.902732240437159,Guanacaste
2013,4.8432876712328765,Guanacaste
2014,4.272876712328767,Guanacaste
2015,2.6153424657534248,Guanacaste
2016,4.672950819672131,Guanacaste
2017,7.391780821917808,Guanacaste
2018,5.55013698630137,Guanacaste
2019,5.1279452054794525,Guanacaste
2020,8.221584699453551,Guanacaste
2021,6.428493150684932,Guanacaste
2022,9.994794520547945,Guanacaste
2023,6.988493150684932,Guanacaste
2024,10.254098360655737,Guanacaste
2025,0.9,Guanacaste
