feature,shap_medio
ingreso_percapita_bruto,8.217454
ingreso_hogar_bruto,1.2310604
valor_cba,0.829238
zona,0.68006325
tam_hogar,0.42593575
anio,0.30992603
edad,0.16570151
nivel_instruccion,0.12994044
pobreza_multidimensional,0.058616724
region,0.046034712
condicion_actividad,0.032907594
sexo,0.024126051
