anio,yhat,yhat_lower,yhat_upper
2010,50.55,47.0,54.35
2011,49.73,45.86,53.5
2012,48.9,44.92,52.92
2015,46.41,42.67,49.92
2018,43.92,40.07,47.79
2020,42.26,38.81,46.08
2021,41.43,37.74,45.61
2022,40.6,37.02,44.29
2023,39.78,36.13,43.5
2024,38.95,35.27,42.83
2025,38.12,34.35,41.85
2026,37.29,33.43,41.02
2027,36.46,32.54,40.14
2028,35.63,31.75,39.61
2029,34.8,31.01,38.81
2030,33.97,30.29,37.65
